                                                                                        2026 Registered Contractors
                       Coshocton Public Health District
                       637 Chestnut St., Coshocton, OH 43812

                                                                                             Coshocton County
                       (P) 740-622-1426 | (F) 740-295-7576
                       (E) coshcohealth@coshoctoncounty.net


        BUSINESS NAME                     OPERATOR NAME                              ADDRESS                                         PHONE | EMAIL                         INSTALLER | HAULER | SERVICE PROVIDER
          Mose A. Barkman                   Mose Barkman                  33219 SR 643, Fresno, OH 43824                 (330) 897-0804 | mbexcavating@Ibifax.com                             Installer
  Norwalk Concrete Industries, INC           Paul Bennett              80 Commerce Drive, Norwalk, OH 44857              (419) 668-8167 | pbennett@nciprecast.com                         Service Provider
Porta Kleen/Pro Kleen Industrial Svc.         Jim Aldrich             1030 Mill Park Drive, Lancaster, OH 43130        (740) 689-1886 | aneighborgall@portakleen.com                           Hauler
       Productive Excavating                 Steve Denney             28471 Coshocton Rd., Howard, OH 43028                  (740) 398-3544 | bds5@hotmail.com                                Installer
       Rabbits Excavating, LLC                Brian Rahn                 44019 CR 58, Coshocton, OH 43812             (740) 502-5746 | rabbits.excavating.llc@gmail.com                       Installer
        Raber Excavating, LLC                 Kevin Raber                2464 TR 327, Loudonville, OH 44842                            (419) 651-2117                                         Installer
    Robert R. Miller Excavating              Robert Miller               3727 CR 114, Sugarcreek, OH 44681                             (330) 893-1065                                         Installer
    R&S Excavating Services, LLC             Robert Miller                3137 CR 70, Sugarcreek, OH 44681               (330) 893-7404 | rsexcavating@sledata.com                            Installer
     Schlabach Excavating, LLC              Leroy Kauffman            14950 Hackett Rd., Applecreek, OH 44606                          (330) 462-3698                                         Installer
          Shetler Services                    Greg Shetler             3656 E Messner Rd., Wooster, OH 44691              (330) 988-4373 | info@shetlerservices.com                           Installer
         Sidwell Excavating                   Joe Sidwell               1335 Brill Rd., Frazeysburg, OH 43822              (740) 828-9177 | syvonne@localnet.com                              Installer
  Site Work Services / Valley Septic        James Dennison            9750 Ragersville Rd. SW, Baltic, OH 43804        (330) 897-3001 | jdennison@myvalleyseptic.com             Installer, Hauler & Service Provider
    Stull Excavating & Septic, LLC           Derrick L. Stull      19050 Danville-Jelloway Rd., Danville, OH 43014   (740) 507-4883 | stullexcavatingandseptic@gmail.com                      Installer
      Stull Septic Pumping, LLC               Nathan Stull           17783 Apple Valley Road, Howard, OH 43028              (740) 504-8741 | nstull20@gmail.com                                Hauler
     T-Total Home Inspections                Todd St. Clair           3113 Meadow Rd., Cambridge, OH 43725           (740) 630-6985 | ttotalhomeinspection@yahoo.com                      Service Provider
      TDT Septic & Excavating               Travis Johnson         1515 Midvale Mine Rd. SE, Dennison, OH 44621             (330) 407-6025 | tdt1515@gmail.com                                Installer
          Trico Inspection                    Matt Miller            1040 Firman Dr. SW, Sugarcreek, OH 44681           (330) 432-7461 | tricoinspections@gmail.com                       Service Provider
  Two-Tac LLC dba Ameri-Cans LLC          Will M. & Patrick F.        13200 Marne Road NE, Newark, OH 43055               (833) 363-7244 | permits@ameri-cans.com                              Hauler
       Valleyview Excavating              Marty Hershberger            9045 TR 614, Fredericksburg, OH 44627                           (330) 763-1088                                         Installer
         William Albert, INC                 Joilynn Jones         1300 Cassingham Hollow, Coshocton, OH 43812          (740) 622-3045 | williamalbertinc@gmail.com              Installer, Hauler & Service Provider
        Yoder Excavating, LLC                 David Yoder                   1893 TR 174, Baltic, OH 43804                (330) 897-4081 | yoderexc@roadrunner.com                             Installer
          Zemba Bros, INC                    Scott Zemba                 3401 East Pike, Zanesville, OH 43701              (740) 452-1880 | ladair@zembainc.com                          Installer & Hauler

